Index	Direction	Time Mark	Status	Name	ID	Format	Type	DLC	Data	
0	Receive	13:14:36.996			0x1826A1F3	Data	Extend	0x08	27 1A 10 1A 10 1B 10 00 	
1	Receive	13:14:36.996			0x1827A1F3	Data	Extend	0x08	27 18 10 16 10 18 10 00 	
2	Receive	13:14:36.996			0x1828A1F3	Data	Extend	0x08	27 16 10 16 10 16 10 00 	
3	Receive	13:14:36.996			0x1829A1F3	Data	Extend	0x08	27 16 10 18 10 18 10 00 	
4	Receive	13:14:36.996			0x1888A1F3	Data	Extend	0x08	B2 03 A0 03 00 05 00 00 	
5	Receive	13:14:36.996			0x1889A1F3	Data	Extend	0x08	00 00 00 00 05 00 00 00 	
6	Receive	13:14:36.996			0x188AA1F3	Data	Extend	0x08	00 00 00 00 00 00 00 00 	
7	Receive	13:14:36.996			0x188BA1F3	Data	Extend	0x08	00 00 00 00 00 00 00 00 	
8	Receive	13:14:36.996			0x18888888	Data	Extend	0x08	00 00 00 00 01 06 00 00 	
9	Receive	13:14:36.996			0x1888A1F3	Data	Extend	0x08	B2 03 A0 03 00 05 00 00 	
10	Receive	13:14:37.011			0x1889A1F3	Data	Extend	0x08	00 00 00 00 05 00 00 00 	
11	Receive	13:14:37.011			0x188AA1F3	Data	Extend	0x08	00 00 00 00 00 00 00 00 	
12	Receive	13:14:37.011			0x0C00F3A1	Data	Extend	0x08	00 00 00 FF 00 FF FF 89 	
13	Receive	13:14:37.011			0x0CFF1290	Data	Extend	0x08	01 01 DB 65 00 00 00 00 	
14	Receive	13:14:37.011			0x04FF8090	Data	Extend	0x08	19 A9 8F 00 00 00 00 89 	
15	Receive	13:14:37.011			0x188BA1F3	Data	Extend	0x08	00 00 00 00 00 00 00 00 	
16	Receive	13:14:37.011			0x04FF8190	Data	Extend	0x08	28 60 DB 65 00 00 00 00 	
17	Receive	13:14:37.011			0x1888A1F3	Data	Extend	0x08	B2 03 A0 03 00 05 00 00 	
18	Receive	13:14:37.011			0x1889A1F3	Data	Extend	0x08	00 00 00 00 05 00 00 00 	
19	Receive	13:14:37.011			0x188AA1F3	Data	Extend	0x08	00 00 00 00 00 00 00 00 	
20	Receive	13:14:37.011			0x188BA1F3	Data	Extend	0x08	00 00 00 00 00 00 00 00 	
21	Receive	13:14:37.011			0x18888888	Data	Extend	0x08	00 00 00 00 01 06 00 00 	
22	Receive	13:14:37.027			0x1888A1F3	Data	Extend	0x08	B2 03 A0 03 00 05 00 00 	
23	Receive	13:14:37.027			0x1889A1F3	Data	Extend	0x08	00 00 00 00 05 00 00 00 	
24	Receive	13:14:37.027			0x188AA1F3	Data	Extend	0x08	00 00 00 00 00 00 00 00 	
25	Receive	13:14:37.027			0x188BA1F3	Data	Extend	0x08	00 00 00 00 00 00 00 00 	
26	Receive	13:14:37.043			0x1888A1F3	Data	Extend	0x08	B2 03 A0 03 00 05 00 00 	
27	Receive	13:14:37.043			0x1889A1F3	Data	Extend	0x08	00 00 00 00 05 00 00 00 	
28	Receive	13:14:37.043			0x188AA1F3	Data	Extend	0x08	00 00 00 00 00 00 00 00 	
29	Receive	13:14:37.043			0x188BA1F3	Data	Extend	0x08	00 00 00 00 00 00 00 00 	
30	Receive	13:14:37.043			0x18888888	Data	Extend	0x08	00 00 00 00 01 06 00 00 	
31	Receive	13:14:37.043			0x1826A1F3	Data	Extend	0x08	28 19 10 12 10 11 10 00 	
32	Receive	13:14:37.043			0x1827A1F3	Data	Extend	0x08	28 18 10 16 10 16 10 00 	
33	Receive	13:14:37.043			0x1828A1F3	Data	Extend	0x08	28 18 10 18 10 18 10 00 	
34	Receive	13:14:37.043			0x1829A1F3	Data	Extend	0x08	28 18 10 18 10 17 10 00 	
35	Receive	13:14:37.043			0x0C00A1F3	Data	Extend	0x08	01 00 7D 08 0A 00 00 AD 	
36	Receive	13:14:37.043			0x1010A1F3	Data	Extend	0x08	00 00 00 00 00 00 00 00 	
37	Receive	13:14:37.043			0x1820A1F3	Data	Extend	0x08	E2 03 00 00 00 00 00 00 	
38	Receive	13:14:37.043			0x1821A1F3	Data	Extend	0x08	BC 1B B2 11 64 0A 5D 00 	
39	Receive	13:14:37.043			0x1822A1F3	Data	Extend	0x08	00 00 49 02 D0 0A 00 00 	
40	Receive	13:14:37.043			0x1823A1F3	Data	Extend	0x08	A4 01 42 18 32 0A 07 00 	
41	Receive	13:14:37.043			0x182AA1F3	Data	Extend	0x08	01 3E 3E 3E 3E 3E 3E 3E 	
42	Receive	13:14:37.043			0x182BA1F3	Data	Extend	0x08	01 3F 3F 3E 3E 3E 3E 3E 	
43	Receive	13:14:37.043			0x182CA1F3	Data	Extend	0x08	01 3E 3F 3E 3E 3E 3E 3E 	
44	Receive	13:14:37.043			0x182DA1F3	Data	Extend	0x08	01 3F 3F 3E 3E 3E 3E 3E 	
45	Receive	13:14:37.043			0x182EA1F3	Data	Extend	0x08	00 7D 00 7D 00 7D 00 7D 	
46	Receive	13:14:37.043			0x1830A1F3	Data	Extend	0x08	FE 1A FE 1A FE 1A FE 1A 	
47	Receive	13:14:37.043			0x1011A1F3	Data	Extend	0x08	00 00 00 00 00 00 00 00 	
48	Receive	13:14:37.043			0x1888A1F3	Data	Extend	0x08	B2 03 A0 03 00 05 00 00 	
49	Receive	13:14:37.058			0x1889A1F3	Data	Extend	0x08	00 00 00 00 05 00 00 00 	
50	Receive	13:14:37.058			0x188AA1F3	Data	Extend	0x08	00 00 00 00 00 00 00 00 	
51	Receive	13:14:37.058			0x188BA1F3	Data	Extend	0x08	00 00 00 00 00 00 00 00 	
52	Receive	13:14:37.058			0x18FF45F3	Data	Extend	0x08	3F 3E 00 0A 00 28 3E 24 	
53	Receive	13:14:37.058			0x1888A1F3	Data	Extend	0x08	B2 03 A0 03 00 05 00 00 	
54	Receive	13:14:37.058			0x1889A1F3	Data	Extend	0x08	00 00 00 00 05 00 00 00 	
55	Receive	13:14:37.058			0x188AA1F3	Data	Extend	0x08	00 00 00 00 00 00 00 00 	
56	Receive	13:14:37.058			0x188BA1F3	Data	Extend	0x08	00 00 00 00 00 00 00 00 	
57	Receive	13:14:37.058			0x18888888	Data	Extend	0x08	00 00 00 00 01 06 00 00 	
58	Receive	13:14:37.058			0x18F00437	Data	Extend	0x08	02 05 00 01 00 00 00 00 	
59	Receive	13:14:37.058			0x1888A1F3	Data	Extend	0x08	B2 03 A0 03 00 05 00 00 	
60	Receive	13:14:37.058			0x1889A1F3	Data	Extend	0x08	00 00 00 00 05 00 00 00 	
61	Receive	13:14:37.058			0x0CFF1092	Data	Extend	0x08	00 00 00 00 03 41 00 00 	
62	Receive	13:14:37.074			0x188AA1F3	Data	Extend	0x08	00 00 00 00 00 00 00 00 	
63	Receive	13:14:37.074			0x188BA1F3	Data	Extend	0x08	00 00 00 00 00 00 00 00 	
64	Receive	13:14:37.074			0x1888A1F3	Data	Extend	0x08	B2 03 A0 03 00 05 00 00 	
65	Receive	13:14:37.074			0x1889A1F3	Data	Extend	0x08	00 00 00 00 05 00 00 00 	
66	Receive	13:14:37.074			0x188AA1F3	Data	Extend	0x08	00 00 00 00 00 00 00 00 	
67	Receive	13:14:37.074			0x188BA1F3	Data	Extend	0x08	00 00 00 00 00 00 00 00 	
68	Receive	13:14:37.074			0x18888888	Data	Extend	0x08	00 00 00 00 01 06 00 00 	
69	Receive	13:14:37.090			0x1888A1F3	Data	Extend	0x08	B2 03 A0 03 00 05 00 00 	
70	Receive	13:14:37.090			0x1889A1F3	Data	Extend	0x08	00 00 00 00 05 00 00 00 	
71	Receive	13:14:37.090			0x188AA1F3	Data	Extend	0x08	00 00 00 00 00 00 00 00 	
72	Receive	13:14:37.090			0x188BA1F3	Data	Extend	0x08	00 00 00 00 00 00 00 00 	
73	Receive	13:14:37.090			0x1826A1F3	Data	Extend	0x08	29 12 10 13 10 17 10 00 	
74	Receive	13:14:37.090			0x1827A1F3	Data	Extend	0x08	29 16 10 18 10 16 10 00 	
75	Receive	13:14:37.090			0x1828A1F3	Data	Extend	0x08	29 17 10 16 10 17 10 00 	
76	Receive	13:14:37.090			0x1829A1F3	Data	Extend	0x08	29 18 10 17 10 17 10 00 	
77	Receive	13:14:37.090			0x1888A1F3	Data	Extend	0x08	B2 03 A0 03 00 05 00 00 	
